SOURCE,HREF,NORMALIZED,STATUS
src/layouts/Layout.astro,/favicon.svg,/favicon.svg,PASS
src/pages/servicii.astro,/animatori-petreceri-copii-bucuresti/,/animatori-petreceri-copii-bucuresti/,PASS
src/pages/servicii.astro,/mascote-petreceri-copii/,/mascote-petreceri-copii/,PASS
src/pages/servicii.astro,/animatori-pe-picioroange/,/animatori-pe-picioroange/,PASS
src/pages/servicii.astro,/magician-petreceri-copii/,/magician-petreceri-copii/,PASS
src/pages/servicii.astro,/decoratiuni-baloane-bucuresti/,/decoratiuni-baloane-bucuresti/,PASS
src/pages/servicii.astro,/vata-de-zahar-popcorn-evenimente/,/vata-de-zahar-popcorn-evenimente/,PASS
src/pages/mascote-petreceri-copii.astro,/animatori-petreceri-copii-bucuresti/,/animatori-petreceri-copii-bucuresti/,PASS
src/pages/404.astro,/,/,PASS
src/components/BrandLogo.astro,/,/,PASS
src/components/Extras.astro,/decoratiuni-baloane-bucuresti/,/decoratiuni-baloane-bucuresti/,PASS
src/components/Extras.astro,/magician-petreceri-copii/,/magician-petreceri-copii/,PASS
src/components/Extras.astro,/vata-de-zahar-popcorn-evenimente/,/vata-de-zahar-popcorn-evenimente/,PASS
src/components/Extras.astro,/servicii/,/servicii/,PASS
src/components/Footer.astro,/animatori-petreceri-copii-bucuresti/,/animatori-petreceri-copii-bucuresti/,PASS
src/components/Footer.astro,/animatori-petreceri-copii-ilfov/,/animatori-petreceri-copii-ilfov/,PASS
src/components/Footer.astro,/animatori-petreceri-copii/,/animatori-petreceri-copii/,PASS
src/components/Footer.astro,/contact/,/contact/,PASS
src/components/Footer.astro,/servicii/,/servicii/,PASS
src/components/Footer.astro,/mascote-petreceri-copii/,/mascote-petreceri-copii/,PASS
src/components/Footer.astro,/animatori-pe-picioroange/,/animatori-pe-picioroange/,PASS
src/components/Footer.astro,/decoratiuni-baloane-bucuresti/,/decoratiuni-baloane-bucuresti/,PASS
src/components/Footer.astro,/magician-petreceri-copii/,/magician-petreceri-copii/,PASS
src/components/Footer.astro,/vata-de-zahar-popcorn-evenimente/,/vata-de-zahar-popcorn-evenimente/,PASS
src/components/Packages.astro,/mascote-petreceri-copii/,/mascote-petreceri-copii/,PASS
src/components/Packages.astro,/animatori-pe-picioroange/,/animatori-pe-picioroange/,PASS
src/components/SeoFooter.astro,/servicii/,/servicii/,PASS
src/components/SeoFooter.astro,/animatori-petreceri-copii-bucuresti/,/animatori-petreceri-copii-bucuresti/,PASS
src/components/SeoFooter.astro,/animatori-petreceri-copii-ilfov/,/animatori-petreceri-copii-ilfov/,PASS
src/components/SeoFooter.astro,/mascote-petreceri-copii/,/mascote-petreceri-copii/,PASS
src/components/SeoFooter.astro,/animatori-pe-picioroange/,/animatori-pe-picioroange/,PASS
src/components/SeoFooter.astro,/decoratiuni-baloane-bucuresti/,/decoratiuni-baloane-bucuresti/,PASS
src/components/SeoFooter.astro,/vata-de-zahar-popcorn-evenimente/,/vata-de-zahar-popcorn-evenimente/,PASS
src/components/SeoFooter.astro,/magician-petreceri-copii/,/magician-petreceri-copii/,PASS
src/components/SeoFooter.astro,/animatori-petreceri-copii/,/animatori-petreceri-copii/,PASS
