url,primary_query,intent_family,title,h1,canonical,status,notes
/,animatori pentru petreceri copii București și Ilfov,umbrella-commercial,Animatori pentru Petreceri Copii București & Ilfov | AnimaParty,,https://animaparty.ro/,PASS,
/animatori-petreceri-copii-bucuresti/,animatori petreceri copii București,local-bucuresti,Animatori Petreceri Copii București | Pachete & Prețuri | AnimaParty,Animatori Petreceri Copii București,https://animaparty.ro/animatori-petreceri-copii-bucuresti/,PASS,
/animatori-petreceri-copii-ilfov/,animatori petreceri copii Ilfov,local-ilfov,Animatori Petreceri Copii Ilfov | Deplasare & Pachete | AnimaParty,Animatori Petreceri Copii Ilfov,https://animaparty.ro/animatori-petreceri-copii-ilfov/,PASS,
/animatori-petreceri-copii/,cum alegi animator pentru petrecere copii,informational-guide,Cum alegi animatorul pentru petrecerea copilului | Ghid AnimaParty,Cum alegi animatorii pentru o petrecere de copii?,https://animaparty.ro/animatori-petreceri-copii/,PASS,
/servicii/,servicii petreceri copii București Ilfov,service-hub,Servicii pentru Petreceri Copii București & Ilfov | AnimaParty,Servicii pentru petreceri de copii și evenimente,https://animaparty.ro/servicii/,PASS,
/mascote-petreceri-copii/,închiriere mascote petreceri copii București,mascote,Închiriere Mascote Petreceri Copii București & Ilfov | AnimaParty,Închiriere mascote pentru petreceri de copii,https://animaparty.ro/mascote-petreceri-copii/,PASS,
/animatori-pe-picioroange/,animatori pe picioroange București,picioroange,Animatori pe Picioroange București & Ilfov | AnimaParty,Animatori pe picioroange în București și Ilfov,https://animaparty.ro/animatori-pe-picioroange/,PASS,
/decoratiuni-baloane-bucuresti/,decorațiuni baloane București,decor,"Decorațiuni Baloane București & Ilfov | Arcade, Heliu | AnimaParty",Decorațiuni cu baloane în București și Ilfov,https://animaparty.ro/decoratiuni-baloane-bucuresti/,PASS,
/magician-petreceri-copii/,magician petreceri copii București,magician,Magician Petreceri Copii București & Ilfov | AnimaParty,Magician pentru petreceri de copii,https://animaparty.ro/magician-petreceri-copii/,PASS,
/vata-de-zahar-popcorn-evenimente/,vată de zahăr popcorn evenimente București,food-stations,Vată de Zahăr & Popcorn Evenimente București & Ilfov | AnimaParty,Vată de zahăr și popcorn pentru evenimente,https://animaparty.ro/vata-de-zahar-popcorn-evenimente/,PASS,
