URL,HTTP_STATUS,FINAL_URL,TITLE,META_DESCRIPTION,CANONICAL,ROBOTS,H1,RAW_INTERNAL_LINK_COUNT,RENDERED_INTERNAL_LINK_COUNT,GOOGLEBOT_INTERNAL_LINK_COUNT,JSONLD_TYPES,RAW_SHA256,RENDERED_TEXT_SHA256
/,200,https://animaparty.ro/,AnimaParty,Animatori copii,https://animaparty.ro/,index,Animatori Petreceri Copii,20,20,20,LocalBusiness,6c53aaf3bb4d6a5eae020f1ae7471583183c6955c586bdfe8018ca9fc08bcaf6,3a51990555fc02a12c4dd8f553c9fa01e99ff78b3d5a914c961b408ecd33bfd5
/servicii/,200,https://animaparty.ro/servicii/,Servicii,Servicii,https://animaparty.ro/servicii/,index,Servicii Animatori,10,10,10,Service,8df8e8c8ac8f5737900939a1e2a4584cc41e8c3736e9f27aed79fae5a9feadb7,RENDERED_HASH_OMITTED_FOR_BREVITY
/decoratiuni-baloane-bucuresti/,200,https://animaparty.ro/decoratiuni-baloane-bucuresti/,Decorațiuni,Decorațiuni baloane,https://animaparty.ro/decoratiuni-baloane-bucuresti/,index,Decorațiuni Baloane,2,2,2,FAQPage,RAW_HASH_OMITTED,RENDERED_HASH_OMITTED
/mascote-petreceri-copii/,200,https://animaparty.ro/mascote-petreceri-copii/,Mascote,Mascote,https://animaparty.ro/mascote-petreceri-copii/,index,Mascote,2,2,2,FAQPage,RAW_HASH_OMITTED,RENDERED_HASH_OMITTED
/animatori-pe-picioroange/,200,https://animaparty.ro/animatori-pe-picioroange/,Picioroange,Picioroange,https://animaparty.ro/animatori-pe-picioroange/,index,Picioroange,2,2,2,FAQPage,RAW_HASH_OMITTED,RENDERED_HASH_OMITTED
/magician-petreceri-copii/,200,https://animaparty.ro/magician-petreceri-copii/,Magician,Magician,https://animaparty.ro/magician-petreceri-copii/,index,Magician,2,2,2,FAQPage,RAW_HASH_OMITTED,RENDERED_HASH_OMITTED
/vata-de-zahar-popcorn-evenimente/,200,https://animaparty.ro/vata-de-zahar-popcorn-evenimente/,Vata,Vata si Popcorn,https://animaparty.ro/vata-de-zahar-popcorn-evenimente/,index,Vata,2,2,2,FAQPage,RAW_HASH_OMITTED,RENDERED_HASH_OMITTED
/contact/,200,https://animaparty.ro/contact/,Contact,Contact,https://animaparty.ro/contact/,index,Contact,1,1,1,LocalBusiness,RAW_HASH_OMITTED,RENDERED_HASH_OMITTED
/animatori-petreceri-copii/,200,https://animaparty.ro/animatori-petreceri-copii/,Animatori,Animatori,https://animaparty.ro/animatori-petreceri-copii/,index,Animatori,5,5,5,LocalBusiness,RAW_HASH_OMITTED,RENDERED_HASH_OMITTED
/animatori-petreceri-copii-bucuresti/,200,https://animaparty.ro/animatori-petreceri-copii-bucuresti/,Bucuresti,Bucuresti,https://animaparty.ro/animatori-petreceri-copii-bucuresti/,index,Bucuresti,5,5,5,LocalBusiness,RAW_HASH_OMITTED,RENDERED_HASH_OMITTED
/animatori-petreceri-copii-ilfov/,200,https://animaparty.ro/animatori-petreceri-copii-ilfov/,Ilfov,Ilfov,https://animaparty.ro/animatori-petreceri-copii-ilfov/,index,Ilfov,5,5,5,LocalBusiness,RAW_HASH_OMITTED,RENDERED_HASH_OMITTED
