Link,Found_in_Raw_HTML,Anchor_Text_Found
/servicii/,TRUE,"Servicii"
/mascote-petreceri-copii/,TRUE,"Vezi detalii pachet Mascote"
/animatori-pe-picioroange/,TRUE,"Vezi detalii Picioroange"
/decoratiuni-baloane-bucuresti/,TRUE,"Decorațiuni din BaloaneArcade organice, heliu, panouri foto pentru petreceri și botezuri.Vezi detalii decor →"
/magician-petreceri-copii/,TRUE,"MagicianSpectacol interactiv cu trucuri și iluzii pentru copii.Vezi detalii magician →"
/vata-de-zahar-popcorn-evenimente/,TRUE,"Food StationsÎnchiriere mașină de vată de zahăr sau popcorn pentru evenimente.Vezi detalii food stations →"
/animatori-petreceri-copii-bucuresti/,TRUE,"București"
/animatori-petreceri-copii-ilfov/,TRUE,"Ilfov"
/animatori-petreceri-copii/,TRUE,"Ghid util"
/contact/,TRUE,"Contact"
