KEYWORD,SERP_INTENT,VERDICT,REASON
arcade baloane Bucuresti,Commercial,MERGE_IN_EXISTING_PAGE,Cannibalization risk with decoratiuni
baloane cu heliu Bucuresti,Commercial,MERGE_IN_EXISTING_PAGE,Cannibalization risk with decoratiuni
aranjamente baloane Bucuresti,Commercial,MERGE_IN_EXISTING_PAGE,Cannibalization risk with decoratiuni
panou foto petrecere,Commercial,HOLD,Low independent depth
face painting Bucuresti,Informational/Commercial,HOLD,Included in packages
modelaj baloane,Informational/Commercial,HOLD,Included in packages
vata de zahar evenimente,Commercial,MERGE_IN_EXISTING_PAGE,Cannibalization
popcorn evenimente,Commercial,MERGE_IN_EXISTING_PAGE,Cannibalization
Mos Craciun de inchiriat,High Commercial,CREATE,Distinct seasonal intent
ursitoare botez,High Commercial,CREATE,Distinct niche intent
