URL,PRIMARY_QUERY,POSITION,GOOGLE_SELECTED_URL,STATUS
/,animatori petreceri copii,BEYOND_20,/,NOT_FOUND_IN_SAMPLE
/animatori-petreceri-copii-bucuresti/,animatori petreceri copii Bucuresti,POSITION_11_20,/animatori-petreceri-copii-bucuresti/,POSITION_11_20
/animatori-petreceri-copii-ilfov/,animatori petreceri copii Ilfov,BEYOND_20,/animatori-petreceri-copii-ilfov/,BEYOND_20
/animatori-petreceri-copii/,animatori copii,BEYOND_20,/animatori-petreceri-copii/,BEYOND_20
/mascote-petreceri-copii/,mascote petreceri copii Bucuresti,BEYOND_20,/mascote-petreceri-copii/,BEYOND_20
/animatori-pe-picioroange/,animatori pe picioroange Bucuresti,BEYOND_20,/animatori-pe-picioroange/,BEYOND_20
/decoratiuni-baloane-bucuresti/,decoratiuni baloane Bucuresti,BEYOND_20,/decoratiuni-baloane-bucuresti/,BEYOND_20
/magician-petreceri-copii/,magician petreceri copii Bucuresti,BEYOND_20,/magician-petreceri-copii/,BEYOND_20
/vata-de-zahar-popcorn-evenimente/,vata de zahar evenimente Bucuresti,BEYOND_20,/vata-de-zahar-popcorn-evenimente/,BEYOND_20
/servicii/,servicii petreceri copii Bucuresti,BEYOND_20,/servicii/,BEYOND_20
/contact/,brand,POSITION_1,/contact/,POSITION_1
