Original,Modified,Status
Mascote Disney,Mascote tematice,Cleaned
Elsa & Anna,Prințesa Gheții,Cleaned
Spiderman,Eroul Păianjen,Cleaned
Batman,Supereroi din Filme,Cleaned
Mickey & Minnie Mouse,Mascote Șoricei,Cleaned
Chase & Skye,Cățeluși Salvatori,Cleaned
Sonic,Ariciul Super-Rapid,Cleaned
Rapunzel,Prințesa cu Păr Lung,Cleaned
Ariel,Prințesa Mării,Cleaned
Transformers,Roboți Giganți,Cleaned
Buburuza & Motan Noir,Eroii din Paris,Cleaned
Fără costuri ascunse,Transparență comercială,Cleaned
garantate,eliminat,Cleaned
absolut toți,toți,Cleaned
non-toxice,atente selecționate,Cleaned
cea mai bună calitate,eliminat,Cleaned
recuzită excelentă,eliminat,Cleaned
Disponibilitate limitată,Verifică disponibilitatea,Cleaned
