Term,Public,NoCache,Googlebot,Origin,Verdict
Disney,       0,       0,       0,       0,OK
Mascote Disney,       0,       0,       0,       0,OK
mascote Disney,       0,       0,       0,       0,OK
Elsa,       0,       0,       0,       0,OK
Anna,       0,       0,       0,       0,OK
Spiderman,       0,       0,       0,       0,OK
Batman,       0,       0,       0,       0,OK
Mickey,       0,       0,       0,       0,OK
Minnie,       0,       0,       0,       0,OK
Chase,       0,       0,       0,       0,OK
Skye,       0,       0,       0,       0,OK
Sonic,       0,       0,       0,       0,OK
Rapunzel,       0,       0,       0,       0,OK
Ariel,       0,       0,       0,       0,OK
Transformers,       0,       0,       0,       0,OK
Buburuza,       0,       0,       0,       0,OK
Motan Noir,       0,       0,       0,       0,OK
garant,       0,       0,       0,       0,OK
garantat,       0,       0,       0,       0,OK
garantate,       0,       0,       0,       0,OK
garantând,       0,       0,       0,       0,OK
Transparență totală,       0,       0,       0,       0,OK
Fără costuri ascunse,       0,       0,       0,       0,OK
distracție maximă,       0,       0,       0,       0,OK
dulciuri garantate,       0,       0,       0,       0,OK
absolut toți,       0,       0,       0,       0,OK
cea mai bună,       0,       0,       0,       0,OK
cel mai bun,       0,       0,       0,       0,OK
recuzită excelentă,       0,       0,       0,       0,OK
non-toxice,       0,       0,       0,       0,OK
perfect,       0,       0,       0,       0,OK
perfecte,       0,       0,       0,       0,OK
premium,      13,      13,      13,      13,TECHNICAL_CLASS_ONLY
Disponibilitate limitată,       0,       0,       0,       0,OK
